id,timestamp,bus_stop,service,estimated,eta_seconds,hour,minute,weekday,eta_minutes,prev_eta_minutes,eta_change_minutes
19787,2025-11-16T19:39:40.876Z,2089,36,2025-11-16T11:46:55.000Z,434.123839,19,39,1,7.235397316666666,2.381111033333333,4.854286283333333
39177,2025-11-16T20:42:40.045Z,2089,36,2025-11-16T12:45:01.000Z,140.954278,20,42,1,2.3492379666666663,7.235397316666666,-4.88615935
296,2025-11-16T17:38:08.133Z,2089,960e,2025-11-16T10:22:45.000Z,2676.866662,17,38,1,44.61444436666667,,
303,2025-11-16T17:38:08.133Z,2101,960e,2025-11-16T10:00:54.000Z,1365.866662,17,38,1,22.764444366666666,,
19796,2025-11-16T19:39:40.876Z,2101,960e,2025-11-16T12:00:45.000Z,1264.123839,19,39,1,21.068730650000003,22.764444366666666,-1.6957137166666634
39186,2025-11-16T20:42:40.045Z,2101,960e,2025-11-16T13:00:46.000Z,1085.954278,20,42,1,18.099237966666667,21.068730650000003,-2.9694926833333355
315,2025-11-16T17:38:08.133Z,2119,196,2025-11-16T09:49:35.000Z,686.866662,17,38,1,11.4477777,,
19808,2025-11-16T19:39:40.876Z,2119,196,2025-11-16T11:49:23.000Z,582.123839,19,39,1,9.702063983333334,11.4477777,-1.7457137166666659
39198,2025-11-16T20:42:40.045Z,2119,196,2025-11-16T12:48:57.000Z,376.954278,20,42,1,6.2825713,9.702063983333334,-3.419492683333334
318,2025-11-16T17:38:08.133Z,2149,36,2025-11-16T09:41:20.000Z,191.866662,17,38,1,3.1977777,,
19811,2025-11-16T19:39:40.876Z,2149,36,2025-11-16T11:44:29.000Z,288.123839,19,39,1,4.8020639833333325,3.1977777,1.6042862833333325
39201,2025-11-16T20:42:40.045Z,2149,36,2025-11-16T12:42:48.000Z,7.954278,20,42,1,0.1325713,4.8020639833333325,-4.669492683333332
326,2025-11-16T17:38:08.133Z,2151,857,2025-11-16T09:44:40.000Z,391.866662,17,38,1,6.5311110333333335,,
19819,2025-11-16T19:39:40.876Z,2151,857,2025-11-16T11:42:57.000Z,196.123839,19,39,1,3.26873065,6.5311110333333335,-3.2623803833333334
39209,2025-11-16T20:42:40.045Z,2151,857,2025-11-16T12:49:26.000Z,405.954278,20,42,1,6.765904633333333,3.26873065,3.497173983333333
